,firstname,lastname,current,sigma,mu
443,Mélanie,SANDOZ,"N(mu=2.338, sigma=0.185)",0.18539726831443173,2.3383825848749744
55,Ekaterina,KIPRIIANOVA,"N(mu=2.332, sigma=0.226)",0.22566166035275848,2.332425465024401
3113,Hannah,MEUL,"N(mu=2.307, sigma=0.222)",0.222263450878894,2.3072656340810966
5514,Nina,CAPREZ,"N(mu=2.306, sigma=0.464)",0.46407179122474984,2.3058643767783575
2327,Mao,NAKAMURA,"N(mu=2.301, sigma=0.258)",0.2582655612251247,2.3014751182980686
1153,Vita,LUKAN,"N(mu=2.292, sigma=0.264)",0.26390691902374536,2.2916339270729957
5129,Lisa,RANDS,"N(mu=2.271, sigma=0.601)",0.6005831177862021,2.2709823877329005
1223,Berit,SCHWAIGER,"N(mu=2.254, sigma=0.203)",0.20252979490816442,2.253849964008332
442,Alizée,DUFRAISSE,"N(mu=2.246, sigma=0.283)",0.28334250092049146,2.2462706067649925
11813,Cloe,COSCOY,"N(mu=2.210, sigma=0.289)",0.2893371246890927,2.210413366053341
1750,Kyra,CONDIE,"N(mu=2.204, sigma=0.206)",0.2057347737541601,2.203705519485487
12297,Anon,MATSUFUJI,"N(mu=2.195, sigma=0.329)",0.3288510252193528,2.1949186080675718
2381,Natsuki,TANII,"N(mu=2.186, sigma=0.720)",0.7198768287744309,2.1863646398824956
1240,Franziska,STERRER,"N(mu=2.173, sigma=0.203)",0.20337732652984186,2.172974744224526
5874,Tiffany,HENSLEY,"N(mu=2.164, sigma=0.471)",0.47099499731262334,2.163683482263846
4535,Alexandra,EYER,"N(mu=2.119, sigma=0.293)",0.2930703236232056,2.11941524611049
914,Giorgia,TESIO,"N(mu=2.108, sigma=0.240)",0.23994790681257255,2.107896069011789
2310,Tomoko,KAJIMA,"N(mu=2.099, sigma=0.422)",0.42183489355126963,2.0993699001459087
1222,Katharina,POSCH,"N(mu=2.099, sigma=0.291)",0.2912478658926753,2.099175851937674
4814,Thirza,CARPENTER,"N(mu=2.090, sigma=0.602)",0.6018167571993729,2.0902478109220137
2268,Aya,ONOE,"N(mu=2.074, sigma=0.197)",0.19725838402143916,2.0744815971652546
1717,Cicada,JENERIK,"N(mu=2.048, sigma=0.733)",0.7326555256877939,2.0481253609512
11546,Sara,COPAR,"N(mu=2.047, sigma=0.585)",0.5849828716664329,2.0474235109552468
316,Chloe,CAULIER,"N(mu=2.043, sigma=0.182)",0.1819655960924384,2.042814180865307
632,Leah,CRANE,"N(mu=2.042, sigma=0.207)",0.20705469888023031,2.0417399823659648
147,Viktoriia,MESHKOVA,"N(mu=2.031, sigma=0.316)",0.3157093734701352,2.0310098777342622
5295,Elizabeth,ASHER,"N(mu=2.024, sigma=0.369)",0.36879291352573396,2.0239991101105184
1121,Maja,STREMFELJ,"N(mu=2.010, sigma=0.462)",0.46169171144642973,2.0099839091730014
3247,Rebekka,STOTZ,"N(mu=2.006, sigma=0.252)",0.25168056644505643,2.005983939753449
68,Dinara,FAKHRITDINOVA,"N(mu=2.005, sigma=0.317)",0.3173332473895526,2.0048194430116677
553,Flavy,COHAUT,"N(mu=1.996, sigma=0.265)",0.265112399620072,1.9960807837850525
1205,Sabine,BACHER,"N(mu=1.995, sigma=0.200)",0.2000212140709527,1.9947703882853454
638,Mina,LESLIE-WUJASTYK,"N(mu=1.984, sigma=0.224)",0.22433188161270592,1.9844015805972808
1137,Julija,KRUDER,"N(mu=1.981, sigma=0.204)",0.20424872397957003,1.9807965980464182
50,Tatiana,SHEMULINKINA ,"N(mu=1.978, sigma=0.253)",0.2530746721764677,1.9778726443430206
4328,Alma,BESTVATER,"N(mu=1.951, sigma=0.202)",0.20204004480216553,1.9505660792497117
13041,Nonoha,KUME,"N(mu=1.947, sigma=0.715)",0.715218939165702,1.947218087722093
12537,Kylie,CULLEN,"N(mu=1.943, sigma=0.257)",0.25715868126937846,1.9434361480910973
1565,Alannah,YIP,"N(mu=1.938, sigma=0.195)",0.19474672406159135,1.9382618152655162
