,firstname,lastname,current,sigma,mu
2017,Alexander,AVERDUNK,"N(mu=1.264, sigma=0.263)",0.2626696299624882,1.2638340314126788
4580,David,CAUDE,"N(mu=1.262, sigma=1.014)",1.0143119503003075,1.2624884213765202
3998,Nimrod,MARCUS,"N(mu=1.262, sigma=0.209)",0.208981524366946,1.262442138807628
4788,Stanislav,KLESHNOV,"N(mu=1.262, sigma=0.291)",0.2907510472665707,1.2615165140799436
4818,Edward,FEEHALLY,"N(mu=1.257, sigma=0.228)",0.22835600656318386,1.2570787317175114
11580,Julian,WIMMER,"N(mu=1.256, sigma=1.001)",1.0007297400778994,1.2560571996032084
5203,Georgos,PROGULAKIS,"N(mu=1.255, sigma=0.347)",0.3469617288496526,1.2548656832166363
13147,Sungsu,LEE,"N(mu=1.254, sigma=0.508)",0.5077551707621764,1.2536258542272818
36,Dmitrii,BYCHKOV,"N(mu=1.238, sigma=0.366)",0.36592487472492463,1.2383490959667935
5683,Masatoshi,SUGITA,"N(mu=1.236, sigma=0.272)",0.2719613810841641,1.235608749474336
3576,Wouter,JONGENEELEN,"N(mu=1.226, sigma=0.179)",0.1791531079456729,1.2257183140835544
1928,Colin,WILLS,"N(mu=1.220, sigma=0.712)",0.712130211517683,1.2202253536819945
324,Rob,DENAYER,"N(mu=1.219, sigma=0.710)",0.7102098049516845,1.2185630032445605
4508,Yohann,DARD,"N(mu=1.217, sigma=0.282)",0.2819203188754364,1.2167107548813487
2377,Hibiki,YAMAUCHI,"N(mu=1.214, sigma=1.001)",1.0012014438936951,1.2141847750783885
5053,Juan,PONS ALEMAN,"N(mu=1.214, sigma=0.462)",0.46246461655851606,1.2137420914645947
3123,Simon,UNGER,"N(mu=1.209, sigma=0.263)",0.26262113132140297,1.2086200686836102
4782,Olivier,LEBRETON,"N(mu=1.199, sigma=0.328)",0.3281530481991473,1.1985352898610167
5292,Nicolas,BADIA,"N(mu=1.198, sigma=0.225)",0.22516581979992242,1.1981736920335624
1466,Andrey,VEDENMEER,"N(mu=1.181, sigma=0.369)",0.3686701151611998,1.1810158780706939
2376,Yuya,KITAE,"N(mu=1.180, sigma=0.713)",0.7134220328634079,1.1799659019895825
4777,Markus,HOPPE,"N(mu=1.175, sigma=0.241)",0.2407811553586222,1.1750481498320746
2347,Tomoki,MUSHA,"N(mu=1.173, sigma=0.715)",0.7145334853118358,1.1734403805145108
667,Matthew,COUSINS,"N(mu=1.162, sigma=0.288)",0.2877383666092801,1.16225035582059
96,Egor,KRYACHKOV,"N(mu=1.147, sigma=0.582)",0.5823762492660512,1.1467406559993232
1871,Ross,FULKERSON,"N(mu=1.139, sigma=0.272)",0.271603560688586,1.1385355701313378
1716,Kyle,OWEN,"N(mu=1.135, sigma=0.462)",0.46245226230038783,1.1348652192748248
1135,Martin,BERGANT,"N(mu=1.135, sigma=0.454)",0.4543396811576209,1.1345779487509429
4844,Christopher,WEBB-PARSONS,"N(mu=1.133, sigma=0.240)",0.2402904560168808,1.1331563535155753
554,Emilien,CASADO,"N(mu=1.126, sigma=1.002)",1.001771030349812,1.1257347015945898
11527,Soya,SHIMADA,"N(mu=1.124, sigma=0.998)",0.9984589442554618,1.1236723872502439
4933,Alexander,KALINA,"N(mu=1.122, sigma=1.016)",1.0158984933230397,1.1222527279779593
4666,Stefano,GHIDINI,"N(mu=1.122, sigma=0.237)",0.23699450043590922,1.121798514860788
6623,Christoph,FINKEL,"N(mu=1.122, sigma=0.593)",0.5933249469087959,1.1216635205627592
